X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
0,0.016,7.44,0.2,,
1,0.016,7.44,0.2,,
2,0.016,7.52,0.2,,
3,0.016,7.52,0.2,,
4,0.016,7.44,0,,
5,0.016,7.44,0,,
6,0.016,7.52,0.2,,
7,0.016,7.52,0.2,,
8,0.016,7.52,0.2,,
9,0.016,7.52,0.2,,
10,0.016,7.52,0.2,,
11,0.016,7.52,0.2,,
12,0.016,7.44,0.2,,
13,0.016,7.44,0.2,,
14,0.016,7.52,0.2,,
15,0.016,7.52,0.2,,
16,0.016,7.44,0.2,,
17,0.016,7.44,0.2,,
18,0.016,7.52,0.2,,
19,0.016,7.52,0.2,,
20,0.016,7.52,0.2,,
21,0.016,7.52,0.2,,
22,0.016,7.44,0.2,,
23,0.016,7.44,0.2,,
24,0.016,7.52,0.2,,
25,0.016,7.52,0.2,,
26,0.016,7.52,0.2,,
27,0.016,7.52,0.2,,
28,0.016,7.44,0.2,,
29,0.016,7.44,0.2,,
30,0.008,7.52,0.2,,
31,0.008,7.52,0.2,,
32,0.008,7.52,0.2,,
33,0.008,7.52,0.2,,
34,0.016,7.44,0.2,,
35,0.016,7.44,0.2,,
36,0.016,7.44,0.2,,
37,0.016,7.44,0.2,,
38,0.016,7.44,0,,
39,0.016,7.44,0,,
40,0.016,7.44,0,,
41,0.016,7.44,0,,
42,0.008,7.44,0.2,,
43,0.008,7.44,0.2,,
44,0.016,7.44,0.2,,
45,0.016,7.44,0.2,,
46,0.016,7.44,0.2,,
47,0.016,7.44,0.2,,
48,0.016,7.44,0.2,,
49,0.016,7.44,0.2,,
50,0.016,7.44,0,,
51,0.016,7.44,0,,
52,0.016,7.52,0.2,,
53,0.016,7.52,0.2,,
54,0.008,7.44,0.2,,
55,0.008,7.44,0.2,,
56,0.008,7.44,0.2,,
57,0.008,7.44,0.2,,
58,0.016,7.44,0.2,,
59,0.016,7.44,0.2,,
60,0.016,7.44,0.2,,
61,0.016,7.44,0.2,,
62,0.016,7.44,0.2,,
63,0.016,7.44,0.2,,
64,0.016,7.44,0.2,,
65,0.016,7.44,0.2,,
66,0.016,7.52,0.2,,
67,0.016,7.52,0.2,,
68,0.016,7.44,0.2,,
69,0.016,7.44,0.2,,
70,0.016,7.52,0.2,,
71,0.016,7.52,0.2,,
72,0.008,7.52,0.2,,
73,0.008,7.52,0.2,,
74,0.008,7.44,0.2,,
75,0.008,7.44,0.2,,
76,0.016,7.44,0,,
77,0.016,7.44,0,,
78,0.016,7.52,0,,
79,0.016,7.52,0,,
80,0.016,7.52,0.2,,
81,0.016,7.52,0.2,,
82,0.016,7.44,0.2,,
83,0.016,7.44,0.2,,
84,0.016,7.44,0.2,,
85,0.016,7.44,0.2,,
86,0.016,7.44,0.2,,
87,0.016,7.44,0.2,,
88,0.008,7.44,0.2,,
89,0.008,7.44,0.2,,
90,0.008,7.44,0.2,,
91,0.008,7.44,0.2,,
92,0.008,7.44,0.2,,
93,0.008,7.44,0.2,,
94,0.016,7.52,0.2,,
95,0.016,7.52,0.2,,
96,0.016,7.44,0.2,,
97,0.016,7.44,0.2,,
98,0.032,0.64,0.2,,
99,0.032,0.64,0.2,,
100,-0.008,0.08,0.2,,
101,-0.008,0.08,0.2,,
102,0.008,0.08,0.2,,
103,0.008,0.08,0.2,,
104,0,0.08,0.2,,
105,0,0.08,0.2,,
106,-0.008,0.08,0.2,,
107,-0.008,0.08,0.2,,
108,0,0.08,0.2,,
109,0,0.08,0.2,,
110,-0.008,0.08,0.2,,
111,-0.008,0.08,0.2,,
112,0,0.08,0.2,,
113,0,0.08,0.2,,
114,-0.008,0.08,0.2,,
115,-0.008,0.08,0.2,,
116,0,0.08,0.2,,
117,0,0.08,0.2,,
118,-0.008,0,0.2,,
119,-0.008,0,0.2,,
120,-0.008,0.08,0.2,,
121,-0.008,0.08,0.2,,
122,-0.008,0.08,0.2,,
123,-0.008,0.08,0.2,,
124,-0.008,0.08,0.2,,
125,-0.008,0.08,0.2,,
126,-0.008,0.08,0.2,,
127,-0.008,0.08,0.2,,
128,-0.008,0.08,0.2,,
129,-0.008,0.08,0.2,,
130,-0.008,0.08,0.2,,
