X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-0.000704,1E-06
0,0.0008,0.72,-0.0254,0,,
1,0.0008,0.72,-0.0254,0,,
2,0.0008,0.76,-0.0254,0,,
3,0.0008,0.76,-0.0254,0,,
4,0,0.72,-0.0254,0,,
5,0,0.72,-0.0254,0,,
6,0,0.72,-0.0254,0,,
7,0,0.72,-0.0254,0,,
8,0.0008,0.74,-0.0254,0.08,,
9,0.0008,0.74,-0.0254,0.08,,
10,0,0.72,-0.0254,0.08,,
11,0,0.72,-0.0254,0.08,,
12,0.0008,0.74,-0.0254,0.08,,
13,0.0008,0.74,-0.0254,0.08,,
14,0,0.72,-0.0254,0,,
15,0,0.72,-0.0254,0,,
16,0.0008,0.72,-0.0254,0,,
17,0.0008,0.72,-0.0254,0,,
18,0,0.74,-0.0254,0,,
19,0,0.74,-0.0254,0,,
20,0,0.74,-0.0254,0,,
21,0,0.74,-0.0254,0,,
22,0.0008,0.74,-0.0254,0,,
23,0.0008,0.74,-0.0254,0,,
24,0,0.74,-0.0254,0,,
25,0,0.74,-0.0254,0,,
26,0.0008,0.72,-0.0254,0,,
27,0.0008,0.72,-0.0254,0,,
28,0,0.74,-0.0254,0,,
29,0,0.74,-0.0254,0,,
30,0,0.74,-0.0254,0,,
31,0,0.74,-0.0254,0,,
32,0.0008,0.72,-0.0254,0,,
33,0.0008,0.72,-0.0254,0,,
34,-0.0008,0.72,-0.0254,0.08,,
35,-0.0008,0.72,-0.0254,0.08,,
36,0,0.72,-0.0254,0.08,,
37,0,0.72,-0.0254,0.08,,
38,0.0008,0.74,-0.0254,0.08,,
39,0.0008,0.74,-0.0254,0.08,,
40,0,0.72,-0.0254,0.08,,
41,0,0.72,-0.0254,0.08,,
42,0,0.72,-0.0254,0.08,,
43,0,0.72,-0.0254,0.08,,
44,0,0.74,-0.0254,0.08,,
45,0,0.74,-0.0254,0.08,,
46,0,0.72,-0.0254,0.08,,
47,0,0.72,-0.0254,0.08,,
48,0,0.72,-0.0254,0,,
49,0,0.72,-0.0254,0,,
50,0.0008,0.72,-0.0254,0,,
51,0.0008,0.72,-0.0254,0,,
52,0,0.74,-0.0254,0,,
53,0,0.74,-0.0254,0,,
54,0,0.74,-0.0254,0,,
55,0,0.74,-0.0254,0,,
56,0,0.72,-0.0254,0,,
57,0,0.72,-0.0254,0,,
58,0,0.74,-0.0254,0,,
59,0,0.74,-0.0254,0,,
60,0.0008,0.72,-0.0254,0,,
61,0.0008,0.72,-0.0254,0,,
62,0.0008,0.72,-0.0254,0,,
63,0.0008,0.72,-0.0254,0,,
64,0.0008,0.74,-0.0254,0,,
65,0.0008,0.74,-0.0254,0,,
66,0.0008,0.74,-0.0254,0,,
67,0.0008,0.74,-0.0254,0,,
68,0.0008,0.76,-0.0254,0,,
69,0.0008,0.76,-0.0254,0,,
70,0.0016,0.72,-0.0254,0,,
71,0.0016,0.72,-0.0254,0,,
72,0.0008,0.72,-0.0254,0,,
73,0.0008,0.72,-0.0254,0,,
74,0,0.72,-0.0254,0,,
75,0,0.72,-0.0254,0,,
76,0,0.72,-0.0254,0,,
77,0,0.72,-0.0254,0,,
78,0,0.72,-0.0254,0,,
79,0,0.72,-0.0254,0,,
80,0,0.72,-0.0254,0,,
81,0,0.72,-0.0254,0,,
82,0,0.74,-0.0254,0.08,,
83,0,0.74,-0.0254,0.08,,
84,0.0008,0.74,-0.0254,0.08,,
85,0.0008,0.74,-0.0254,0.08,,
86,0,0.74,-0.0254,0.08,,
87,0,0.74,-0.0254,0.08,,
