X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
0,9.8,0.122,-0.12,0,,
1,9.8,0.122,-0.12,0,,
2,9.8,0.122,-0.12,0,,
3,9.8,0.122,-0.12,0,,
4,9.8,0.122,-0.12,0,,
5,9.8,0.122,-0.12,0,,
6,9.8,0.122,-0.12,0,,
7,9.8,0.122,-0.12,0,,
8,9.8,0.124,-0.12,0,,
9,9.8,0.124,-0.12,0,,
10,9.8,0.122,-0.12,0,,
11,9.8,0.122,-0.12,0,,
12,9.8,0.122,-0.12,0,,
13,9.8,0.122,-0.12,0,,
14,9.8,0.122,-0.12,0,,
15,9.8,0.122,-0.12,0,,
16,9.8,0.122,-0.12,0,,
17,9.8,0.122,-0.12,0,,
18,9.8,0.122,-0.12,0,,
19,9.8,0.122,-0.12,0,,
20,9.8,0.122,-0.12,0,,
21,9.8,0.122,-0.12,0,,
22,9.8,0.122,-0.12,0,,
23,9.8,0.122,-0.12,0,,
24,9.8,0.122,-0.12,0,,
25,9.8,0.122,-0.12,0,,
26,9.8,0.122,-0.12,-0.2,,
27,9.8,0.122,-0.12,-0.2,,
28,10,0.122,-0.12,-0.2,,
29,10,0.122,-0.12,-0.2,,
30,9.8,0.122,-0.12,0,,
31,9.8,0.122,-0.12,0,,
32,9.8,0.122,-0.12,-0.2,,
33,9.8,0.122,-0.12,-0.2,,
34,10,0.122,-0.12,0,,
35,10,0.122,-0.12,0,,
36,10,0.122,-0.12,0,,
37,10,0.122,-0.12,0,,
38,10,0.122,-0.12,0,,
39,10,0.122,-0.12,0,,
40,10,0.122,-0.12,0,,
41,10,0.122,-0.12,0,,
42,9.8,0.122,-0.12,0,,
43,9.8,0.122,-0.12,0,,
44,9.8,0.122,-0.12,0,,
45,9.8,0.122,-0.12,0,,
46,9.8,0.122,-0.12,-0.2,,
47,9.8,0.122,-0.12,-0.2,,
48,9.8,0.122,-0.12,0,,
49,9.8,0.122,-0.12,0,,
50,9.8,0.122,-0.12,0,,
51,9.8,0.122,-0.12,0,,
52,9.8,0.122,-0.12,0,,
53,9.8,0.122,-0.12,0,,
54,9.8,0.122,-0.12,0,,
55,9.8,0.122,-0.12,0,,
56,10,0.124,-0.12,0,,
57,10,0.124,-0.12,0,,
58,10,0.122,-0.12,0,,
59,10,0.122,-0.12,0,,
60,10,0.124,-0.12,0,,
61,10,0.124,-0.12,0,,
62,10,0.122,-0.12,0,,
63,10,0.122,-0.12,0,,
64,10,0.122,-0.12,0,,
65,10,0.122,-0.12,0,,
66,10,0.122,-0.12,0,,
67,10,0.122,-0.12,0,,
68,10,0.124,-0.12,0,,
69,10,0.124,-0.12,0,,
70,10,0.122,-0.12,0,,
71,10,0.122,-0.12,0,,
72,10,0.122,-0.12,0,,
73,10,0.122,-0.12,0,,
74,10,0.122,-0.12,0,,
75,10,0.122,-0.12,0,,
76,10,0.122,-0.12,0,,
77,10,0.122,-0.12,0,,
78,10,0.122,-0.12,0,,
79,10,0.122,-0.12,0,,
80,10,0.122,-0.12,0,,
81,10,0.122,-0.12,0,,
82,10,0.122,-0.12,0,,
83,10,0.122,-0.12,0,,
84,10,0.122,-0.12,0,,
85,10,0.122,-0.12,0,,
86,10,0.122,-0.12,0,,
87,10,0.122,-0.12,0,,
88,10.2,0.122,-0.12,0,,
89,10.2,0.122,-0.12,0,,
90,10,0.122,-0.12,0,,
91,10,0.122,-0.12,0,,
92,10,0.122,-0.12,0,,
93,10,0.122,-0.12,0,,
94,10,0.122,-0.12,0,,
95,10,0.122,-0.12,0,,
96,10.2,0.124,-0.12,0,,
97,10.2,0.124,-0.12,0,,
98,10,0.122,-0.12,0,,
99,10,0.122,-0.12,0,,
100,10,0.122,-0.12,-0.2,,
101,10,0.122,-0.12,-0.2,,
102,10,0.122,-0.12,0,,
103,10,0.122,-0.12,0,,
104,10,0.122,-0.12,0,,
105,10,0.122,-0.12,0,,
106,10,0.122,-0.12,0,,
107,10,0.122,-0.12,0,,
108,10,0.122,-0.12,0,,
109,10,0.122,-0.12,0,,
110,10,0.122,-0.12,0,,
111,10,0.122,-0.12,0,,
112,10,0.122,-0.12,0,,
113,10,0.122,-0.12,0,,
114,10,0.122,-0.12,0,,
115,10,0.122,-0.12,0,,
116,10,0.122,-0.12,0,,
117,10,0.122,-0.12,0,,
118,10,0.122,-0.12,0,,
119,10,0.122,-0.12,0,,
120,10.2,0.122,-0.12,0,,
121,10.2,0.122,-0.12,0,,
122,10,0.122,-0.12,-0.2,,
123,10,0.122,-0.12,-0.2,,
124,10,0.122,-0.12,-0.2,,
125,10,0.122,-0.12,-0.2,,
126,10,0.124,-0.12,0,,
127,10,0.124,-0.12,0,,
128,10,0.122,-0.12,0,,
129,10,0.122,-0.12,0,,
130,10,0.122,-0.12,0,,
